type	color	url
coat	gray	https://i0.wp.com/mailystyle.com/wp-content/uploads/2018/11/5b53f02cdd867db6acee1efc99e906b4.gif?fit=666%2C1000&ssl=1
coat	gray	https://4.bp.blogspot.com/-u8qOGblpvwQ/VGJYW3scA3I/AAAAAAAAQZ4/vbVk3Rv2jF4/s1600/vanja%2C%2Bfashion%2Band%2Bstyle%2Bblog%2C%2Bzara%2Bcoat%2C%2Bgray%2Bcoat%2Bzara%2C.jpg
coat	gray	https://mujomagazine.com/wp-content/uploads/2017/12/4mujo-outfits-gray-coat-stilettos-flats.jpg
coat	gray	https://image.sportsmansguide.com/adimgs/l/4/427539_ts.jpg
coat	gray	https://smhttp-ssl-39255.nexcesscdn.net/wp-content/uploads/2018/01/blue-suede-loafers.jpg
coat	gray	https://i.pinimg.com/originals/21/97/b1/2197b1632469314cbf44e85b535dc9e8.jpg
coat	gray	https://smhttp-ssl-39255.nexcesscdn.net/wp-content/uploads/2018/01/Blue-jeans-with-gray-705x1030.jpg
coat	gray	https://pubgshowcase.com/img/items_no_steam/icon_equipment_Jacket_D_01.png
coat	gray	https://i.pinimg.com/originals/db/0d/6f/db0d6f8c52581c44e351f1718475d51e.jpg
coat	gray	https://ae01.alicdn.com/kf/HTB1fBEfKpXXXXXpXpXXq6xXFXXXG/Free-shipping-Europe-and-the-United-Statesjacket-dark-gray-vertical-stripes-men-casual-jacket-man-coat.jpg
coat	gray	https://www.joseph-fashion.com/dw/image/v2/BBQG_PRD/on/demandware.static/-/Sites-joseph-master-catalog/default/dw8220a20b/images/hi-res/JOSEPH-Horton-Taffeta-Nylon-Coat-Navy-jf0028470370-2.jpg?sw=720&sh=940
coat	gray	https://images-na.ssl-images-amazon.com/images/I/71zLe2rDuUL.jpg
coat	gray	https://mujomagazine.com/wp-content/uploads/2017/12/2mujo-outifts-gray-coat-ankle-boots.jpg
coat	gray	https://smhttp-ssl-39255.nexcesscdn.net/wp-content/uploads/2018/01/Brian-Sacawa.jpg
coat	gray	https://hhpubg.com/wp-content/uploads/2017/09/Icon_equipment_Jacket_Trench_Coat_Camel.jpg
coat	gray	https://i.pinimg.com/736x/3d/3f/8f/3d3f8fab80dd5f7b9a0f28143e0d7a75--gray-coat-white-trousers.jpg
coat	gray	https://mujomagazine.com/wp-content/uploads/2017/12/7kristen-blake-double-breasted-coat.jpg
coat	gray	https://cdn11.bigcommerce.com/s-e9sst20841/images/stencil/1280x1280/products/140/4392/sherlock_holmes_coat__37125.1547635576.jpg?c=2
coat	gray	http://thefashiontag.com/wp-content/uploads/2015/11/grey-coat-and-grey-turtleneck.jpg
coat	gray	https://smhttp-ssl-39255.nexcesscdn.net/wp-content/uploads/2018/01/Windowpane-with-Gray-Windowpane-Tie.jpg
coat	gray	https://cdn.shopify.com/s/files/1/0092/8553/3755/products/product-image-550363401_543x_91801403-ec14-4e18-abe9-e9681fc57cca_543x.jpg?v=1547408378
coat	gray	https://cdn11.bigcommerce.com/s-n29utr4wup/images/stencil/500x605/products/392/10267/WR_WF1082_013_GM__13133.1533839881.JPG?c=2
coat	gray	https://www.joseph-fashion.com/dw/image/v2/BBQG_PRD/on/demandware.static/-/Sites-joseph-master-catalog/default/dwfe79e84c/images/hi-res/JOSEPH-New-Lima-Double-Cashmere-Coat-Marble-jf0020270287-2.jpg?sw=720&sh=940
coat	gray	https://cdn.shopify.com/s/files/1/1167/1088/products/IMG_3163_1024x1024.jpg?v=1559168215
